"name","price","image__001","image__002","image__003","image__004","image__005","image__006","description","description_detail__001","description_detail__002"
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x 2.5"" SATA , 2 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort , 3 x USB 3.2 , 1 x 3.5 mm , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , có phím số , RGB "
"","","","","","","","","","Hệ điều hành"," Windows 11 "
"","","","","","","","","","Kích thước"," 36.34  x 25.5  x 2.39 cm "
"","","","","","","","","","Pin"," 4 cell  57 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 2.2 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"Laptop Lenovo IdeaPad 5 15ITL05 82FG01H8VN (15.6"" Intel Core i5-1135G7/8GB/256GB SSD/Onboard/Windows 11 Home/1.7kg)","13.590.000₫","https://lh3.googleusercontent.com/UL9bIySZatUyckrYhzv4NV7v9aiOeOUUM5nbkvF_M6jjDF_4ctEcEx2--m8bTZWP74ESzIp6b8GMLMlcM1YzdPw1yM07K0o=rw","https://lh3.googleusercontent.com/pj_kfivd2UziP73V1ENDX0p1F1IhmBL1IritqJciuyHja3lV5J2FUTJUkNxuq7YgJGXhdgjy-Dc5Dpetbf4ZbzPfD8thwTw=rw","https://lh3.googleusercontent.com/mqYiWLGxYSB3xAQm30hNVwC4xSivdACGmvA2-jt2DpcTSASYt6ZS77LEIPvc0umOf4_FTNtjk_aD2oyJV18HQznw5P_HYXaATQ=rw","https://lh3.googleusercontent.com/ItGJvpevoQUkoMg85ctFGTFu1YjI23VBHFeVXaOxKtXNpWDqR_p5DvAsGDWm_-mwct-zx24AgWLILEMxPw9KxElWbmYvfI2a=rw","https://lh3.googleusercontent.com/JGmlpSmwO7_bFddYgK470U0T3637AqPsIMU0pqXVFniFgiR04GUQSChj-jHjNSxnT8ACIQ3cBymvHpxSkJOIxsYAWVX9iKau=rw","https://lh3.googleusercontent.com/h9S3GCHDl7ftHhbXzF5dIqhDLqkv-uv-ThAywvY5V9boRg0wBgJJMn_2QIW_5HeXq6C63q3aHR6CXWjO7TOGNG8lStmF783l=rw","- CPU: Intel Core i5-1135G7\n- Màn hình: 15.6"" IPS (1920 x 1080)\n- RAM: 8GB Onboard DDR4 3200MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 256GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 3 cell Pin liền\n- Khối lượng: 1.7kg","Thương hiệu","Lenovo"
"","","","","","","","","","Bảo hành","24"
"","","","","","","","","","Series laptop","Ideapad"
"","","","","","","","","","Part-number","82FG01H8VN"
"","","","","","","","","","Màu sắc","Xám"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 8GB Onboard  DDR4  3200MHz "
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 256GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x 2.5"" SATA , 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort / Data / Power Delivery , 2 x USB 3.2 , Có , 1 x 3.5 mm "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , có phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 35.6 x 23 x 2 cm "
"","","","","","","","","","Pin"," 3 cell  Pin liền "
"","","","","","","","","","Khối lượng"," 1.7 kg"
"","","","","","","","","","Bảo mật"," Vân tay "
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"","","","","","","","","","Phụ kiện đi kèm"," Adapter, dây nguồn "
"Laptop HP 15s-fq2663TU 6K796PA (15.6"" HD/Intel Core i3-1115G4/4GB/256GB SSD/Onboard/Windows 11 Home/1.7kg)","9.329.000₫","https://lh3.googleusercontent.com/ExBFc3KthYGD_6se7PDT_cfd6DjqjglxPjopB_JZTIaU_gkkHG67ZOzSvrORF1mrith9xGSh6OO_sTzoPuQCEfK9YnDAl4U=rw","https://lh3.googleusercontent.com/u5C50irP1bBeUpC1JeuXH6cu9nd_vcFmA6KqduF67fUU9dXRLNoMWo7lXZYQCCU1TKV_U9iUsqttnoEdUvcD9DxKF9v1Ce0w=rw","https://lh3.googleusercontent.com/mEznvsl856MIm3ciaHT18aa2lnZxuFhDj4u2FKV325_XKilthr9b2VRRAqdE-DmANG9XV7W3Vws3eEDEz4OWR42kb__msp9W9Q=rw","https://lh3.googleusercontent.com/pLSWEbZnYE90TnCi7r4GHl7Z7uAl2VS0HP1i1_b5siByA26-2lBZletWDsAB1oPN55KbSh5fJBkNn96CN8YEzhZeaC-o6NZM=rw","https://lh3.googleusercontent.com/yqkk21P63g5kDn0r2ge1ukXuWFx0A2sg_dKeNfzU1BD9yXWRjoMxQ5Zu6glpVttBgcskWR2T573Gr2XQl9V1zb-cNkG-RG_UCA=rw","https://lh3.googleusercontent.com/FJl73GnQ_Nj_G51oHs5ozglGWnePzmY-grc4GHFkIcGvJ3hj5cO_bO4hjU7R9JEkq6uXwM5HuHAlrvj-YJ6ybGFWdwoVjKgd=rw","- CPU: Intel Core i3-1115G4\n- Màn hình: 15.6"" IPS (1366 x 768)\n- RAM: 1 x 4GB DDR4 3200MHz\n- Đồ họa: Onboard Intel UHD Graphics\n- Lưu trữ: 256GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 3 cell 41 Wh Pin liền\n- Khối lượng: 1.7kg","Thương hiệu","HP"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","HP 15s"
"","","","","","","","","","Part-number","6K796PA"
"","","","","","","","","","Màu sắc","Bạc"
"","","","","","","","","","Thế hệ CPU"," Core i3 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i3-1115G4 ( 3.0 GHz - 4.10 GHz / 6MB / 2 nhân, 4 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel UHD Graphics "
"","","","","","","","","","RAM"," 1 x 4GB  DDR4  3200MHz ( 2 Khe cắm "
"","","","","","","","","","Màn hình"," 15.6"" ( 1366 x 768 ) HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 256GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C , 2 x USB 3.1 , 1 x SD card slot , 1 x 3.5 mm "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ac , Bluetooth "
"","","","","","","","","","Bàn phím"," thường , có phím số , không đèn "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 35,85 x 24,2 x 1,79 cm "
"","","","","","","","","","Pin"," 3 cell  41 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 1.7 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"","","","","","","","","","Phụ kiện đi kèm"," Adapter, dây nguồn "
"Laptop ACER Aspire 7 A715-42G-R05G NH.QAYSV.007 (15.6"" Full HD/ 144Hz/AMD Ryzen 5 5500U/8GB/512GB SSD/GTX 1650/Windows 11 Home/2.1kg)","17.990.000₫","https://lh3.googleusercontent.com/ITuM-86ObB_Q_pELdb6s3xjIvvECtOl2IxJJ9_4RUSaYmzOMEprg8EOQ-VKdFOeI3SFNL-fpnFL7KQggDoo84bXE2WIB_cDe=rw","https://lh3.googleusercontent.com/QgyT9fB879ELmTVifbGqKWX9g07TeQ6QUxMhBRcI6q7nlJyqpSnmh9L2nIdQR1Pfesf9FFmJ7VCLjpET0BrnYXRx3DaKHB7k0g=rw","https://lh3.googleusercontent.com/zpqPNYQHrVN8NGALoJbu2RBE5tqQEah_XQFaFceDMNmP81HZjvOeCk82AMi-XFeAKyOyzOC8j78TOivwnVR3MKsY67Ae0_eevw=rw","https://lh3.googleusercontent.com/s3mgvrWmESD41Vo_SWfsoNj7fUGD75Wx_mbyt3A4p35Inbz6ZLdNV6AL04lZF2-KroSl3Y4tnOD6DbfJ-6oUSV_QzJ8U3qQ9=rw","https://lh3.googleusercontent.com/0aAtoPP6U6sFoe2aDqBycVLIK5lY_J4io8ZNxmF-kyC4pNTrmI-jgaAiWhZWMCLi8svtQQ09H1U8zsLLYGTsIAw63iY-XaT2=rw","https://lh3.googleusercontent.com/OkLPlLsIqibtBYHIP3pEbgxHWlrQpk-ovb17_tCWFOSpeI69rwv3vipZUmFSVazWxXBtaJ3LVsMtonor5ApsqnP4KShtB_CGOg=rw","- CPU: AMD Ryzen 5 5500U\n- Màn hình: 15.6"" IPS (1920 x 1080),144Hz\n- RAM: 1 x 8GB DDR4 3200MHz\n- Đồ họa: GTX 1650 4GB GDDR6 / AMD Radeon Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- 48 Wh\n- Khối lượng: 2.1kg","Thương hiệu","ACER"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Aspire 7"
"","","","","","","","","","Part-number","NH.QAYSV.007"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Ryzen 5 "
"","","","","","","","","","CPU"," AMD Ryzen 5 5500U ( 2.1 GHz - 4.0 GHz / 8MB / 6 nhân, 12 luồng )"
"","","","","","","","","","Chip đồ họa"," GTX 1650  4GB  GDDR6 / AMD Radeon Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB 3.2 Type C , 2 x USB 3.2 , 1 x USB 2.0 , 1 x 3.5 mm , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , có phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 36.34 x 25.45 x 2.29 cm "
"","","","","","","","","","Pin"," 48 Wh "
"","","","","","","","","","Khối lượng"," 2.1 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"","","","","","","","","","Phụ kiện đi kèm"," Cáp + Sạc "
"Laptop ASUS Vivobook S433EA-AM2307W (14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Onboard/Windows 11 Home/1.4kg)","15.849.000₫","https://lh3.googleusercontent.com/98i5QRJmMrInyGJpXV_HE3XadRbtnYpge6hF27jUHyx03aO8JQgwIj2-ksWtR1BAOVo3SCbtr_LSoILI6Du2ZHwigo27nBg=rw","https://lh3.googleusercontent.com/SibIaDsIc9JaUdGI15bvQ-SAZeP-G1F9LzE9Kd5bvDJVNdGgM6YH5675aeJZfCFTBqBhHmWFAv9FDJAAoPrhK2iN5otP4Wo5=rw","https://lh3.googleusercontent.com/rNPfKQhwCbBBJeFOilnb_OeLFvo1ZddEsY3yHmUuhK46GN-K1dS5li0bo3k_eDFuX2P09ob1Ae70s4q0M3Tw4mPD_4AfBDiv=rw","https://lh3.googleusercontent.com/dWmtdVDDUsPiUwsUToB_-GZDf6WIGVfut1PDN-9aLRTzikWCNqFtrJAByPSwNQ4lw7QWG9QyRZYWfLer3XNoAxTFiBq7hi1x=rw","https://lh3.googleusercontent.com/SBsynFSa-KDkbkMooGN5Yr05leiPog2Er5Nr3RQwVJn874GJYeDj0pfMbcD32ZNSDfuIT7ooAWRxQMi_sAEToCQyw8yWxD0Bpw=rw","https://lh3.googleusercontent.com/ceWo1tfYavNXCGgquNR1rQ-Cavp763YM7A6ZuiGjtCbNY59F6Sj9NK_bqloJuloRQu5Ig3GUbDlGsb_r3xsBOogRoflYzS0C=rw","- CPU: Intel Core i5-1135G7\n- Màn hình: 14"" IPS (1920 x 1080)\n- RAM: 1 x 8GB Onboard DDR4 2666MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 3 cell 50 Wh Pin liền\n- Khối lượng: 1.4kg","Thương hiệu","ASUS"
"","","","","","","","","","Bảo hành","24"
"","","","","","","","","","Series laptop","VivoBook"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
