"name","price","image__001","image__002","image__003","image__004","image__005","image__006","description","description_detail__001","description_detail__002"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Swift 3"
"","","","","","","","","","Part-number","NX.ABNSV.003"
"","","","","","","","","","Màu sắc","Bạc"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 16GB Onboard  LPDDR4X  4266MHz  Không nâng cấp được )"
"","","","","","","","","","Màn hình"," 14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort , 2 x USB 3.2 , 1 x 3.5 mm "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , không phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 32.28 x 21.22 x 1.59 cm "
"","","","","","","","","","Pin"," 56 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 1.2 kg"
"","","","","","","","","","Bảo mật"," Vân tay "
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"Laptop ASUS TUF Gaming FX507ZC-HN124W 90NR08W2-M007R0 (15.6"" Full HD/ 144Hz/Intel Core i7-12700H/8GB/512GB SSD/RTX 3050/Windows 11 Home/2.2kg)","28.890.000₫","https://lh3.googleusercontent.com/SNwaHoMoq7H13ZlxK_LIkWd3pZzbVVUHz7QkRy4JOlcjW-Iz2syRudY9kkRVmYVy06_vXHGwJT7gmJyvBzwHR2s6bZU3-1Eu=rw","https://lh3.googleusercontent.com/oANy_Uhb9XO5v8wIeilZcX5QQ2eM7a5bSILXDziUvYwX5a-xgPcDttDTF3EaZt5n_WMXZqIVgLzidzlhvnaMzLON_c_lONqb=rw","https://lh3.googleusercontent.com/E_7tqzfQdtijjDtZGhfvOAdVbdFR4lb7dS5ojQ9kQ0j1cW3WrwNs5q7lASfXybNOQrKkF87J0-n6275zasGG-HdnYe_9Mnxd=rw","https://lh3.googleusercontent.com/Rcp1t6Qo1UTPwg0Wr6EDZUlaZOvklO3mPV0MnS5SH3EUngQCNKpTGgRgWJD5u9a-GeUPL76CijLjhuAdmy-gyTH7iaXAcuP3fA=rw","https://lh3.googleusercontent.com/4mjo3Pj1gc2UwJV9lRnb7MT_FIDIUzA__-M3oAM9EtrL2FnGe4ypyy9kVAcT0WZlJLcuSQoRNejiTYWWoZ6llwIDssp-xCcsXQ=rw","https://lh3.googleusercontent.com/ZkxBFeq9YmsIrfeGxWbJDfskRpTQwL4GEVvK27c35LQUpJuyL1fNlHfFN_pTlOOvuURfX8la8of10Hkov5yvE1hbHG7UhDxp=rw","- CPU: Intel Core i7-12700H\n- Màn hình: 15.6"" IPS (1920 x 1080),144Hz\n- RAM: 1 x 8GB DDR5 4800MHz\n- Đồ họa: RTX 3050 4GB GDDR6 / Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 4 cell 56 Wh\n- Khối lượng: 2.2kg","Thương hiệu","ASUS"
"","","","","","","","","","Bảo hành","24"
"","","","","","","","","","Series laptop","TUF Gaming"
"","","","","","","","","","Part-number","90NR08W2-M007R0"
"","","","","","","","","","Màu sắc","Xám"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Core i7 , Intel Core thế hệ thứ 12 "
"","","","","","","","","","CPU"," Intel Core i7-12700H ( 2.3 GHz - 4.7GHz / 24MB / 14 nhân, 20 luồng )"
"","","","","","","","","","Chip đồ họa"," RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR5  4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , Màn hình chống lóa , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 2 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort , 2 x USB 3.2 , 1 x Thunderbolt 4 , Audio combo , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.2 "
"","","","","","","","","","Bàn phím"," thường , RGB "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 35.4 x 25.1 x 2.49 cm "
"","","","","","","","","","Pin"," 4 cell  56 Wh "
"","","","","","","","","","Khối lượng"," 2.2 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"Laptop HP Pavilion 15-eg2057TU 6K787PA (15.6"" Full HD/Intel Core i5-1240P/8GB/512GB SSD/Onboard/Windows 11 Home SL/1.7kg)","17.790.000₫","https://lh3.googleusercontent.com/Jkkykb5qmWR9Y0UKN1SxJfg5nWREQ3YM34970NADgGlhkl20bU5du5C4cgQPK-U_61U0kt9BlFNoGkuvzYPN3tDUXqB_s7BO=rw","https://lh3.googleusercontent.com/xAjk_68XVkv5u-l38aQk5d2ftR_r8a-zGjErHBAQPPabNrxw7LIdIQh1GsSodVpKFJXmgUHrEgsU4T-fboK6ag7Sq_N8npi-=rw","https://lh3.googleusercontent.com/xEIbTBinCOYb0pSYigDaLmY_OBzCdRlPIkjJ5TurcwKMhIZsoTY2FgA-pJ9aI8DMIR6bfPiqhaIbGn6jk2-ErQkpKyX7y7I6=rw","https://lh3.googleusercontent.com/Nq2py9fDquBea1L3eNe5KiOMu_LmdiZOLzQ9OKMsDWVNoizJwsh2TgZ-FCuPv7XB6o5psGrYPdSZphvQATdaj5b22pGo3lip=rw","https://lh3.googleusercontent.com/TGyI3ApBU5RXbbHZlfu8sLbNbIgqIFnYWI0YG2rVJKnWY1HE5-Wti93ed0PGZaRvGT44RgPuwNWuJWAuQ9xRFX0ptX6Pil8D=rw","https://lh3.googleusercontent.com/xEWu7woRaHdFn5PVO5ihzlIWoF3o3jRS39-GWCZkOri4UoLT2a-PU8Esj-yB9JqA0WwgfZxX2bIxDmPhDMSBC-DOm9Bq66DpYg=rw","- CPU: Intel Core i5-1240P\n- Màn hình: 15.6"" IPS (1920 x 1080)\n- RAM: 2 x 4GB DDR4 3200MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home SL\n- Pin: 3 cell 41 Wh\n- Khối lượng: 1.7kg","Thương hiệu","HP"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Pavilion"
"","","","","","","","","","Part-number","6K787PA"
"","","","","","","","","","Màu sắc","Bạc"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 12 "
"","","","","","","","","","CPU"," Intel Core i5-1240P ( 1.7 GHz - 4.4GHz / 12MB / 12 nhân, 16 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 2 x 4GB  DDR4  3200MHz ( 2 Khe cắm "
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort / Power Delivery , 2 x USB 3.2 , Audio combo "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.2 "
"","","","","","","","","","Bàn phím"," thường , có phím số "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home SL "
"","","","","","","","","","Kích thước"," 36.02 x 23.4 x 1.79 cm "
"","","","","","","","","","Pin"," 3 cell  41 Wh "
"","","","","","","","","","Khối lượng"," 1.7 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"Laptop ACER Aspire 7 A715-43G-R8GA NH.QHDSV.002 (15.6"" Full HD/ 144Hz/AMD Ryzen 5 5625U/8GB/512GB SSD/RTX 3050/Windows 11 Home/2.1kg)","19.990.000₫","https://lh3.googleusercontent.com/A6seUrkZalGV5cYTciGmbR8hNJSfeJM8wjsTT6pkvy4mtDOvfzzx_NZb8EQzyVKfHYsCDUveUu-BLoMZK3y17mO5p9lg6fbD=rw","https://lh3.googleusercontent.com/OtYAuTL-TzXFmbRP6nTTHM53e6ShQMZF0xNcp8WL_r0NhGisYvrj1oI4HsWcv9A9x2SlOAvH7LkPvgRxO9BXRD9JYJSiPdB2=rw","https://lh3.googleusercontent.com/dDDn14BcxjAVxKJ7fKm_nVprJ875vJAQ9WqJiJtKYefH4br6P52BJPou0mh-sue4-aIC-3uprkkqVWHI91tj5JsHRZIlhXpc=rw","https://lh3.googleusercontent.com/zFfiWCaCXW1D4hMXIFNqPVA2HyN0w9VbKV0OD0BjzXKI4BN1LddfREOxA4wlqBGcejpii9mQnwyIxosuCeMI3Bc7I0vWvbpq=rw","https://lh3.googleusercontent.com/HUr4Uiy0Gp2DDEhj5GofT4yktW_xi8EGNbMkz45Lcrs6W6kJDFumTCTRvEv9es4YEk5Bj6M1L-ri57es0ze4DgEpt3KWwovv=rw","https://lh3.googleusercontent.com/Td1ryrTbZnQILHVxkIrfNLS9L-Gq-vLUYdufx_60SWesG_699-X6C59tinNScLc3gZLMdpjtnWtHQWofz95kIYg0gAfQocs=rw","- CPU: AMD Ryzen 5 5625U\n- Màn hình: 15.6"" IPS (1920 x 1080),144Hz\n- RAM: 1 x 8GB DDR4 3200MHz\n- Đồ họa: RTX 3050 4GB GDDR6 / AMD Radeon Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 3 cell 50 Wh Pin liền\n- Khối lượng: 2.1kg","Thương hiệu","ACER"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Aspire 7"
"","","","","","","","","","Part-number","NH.QHDSV.002"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Ryzen 5 "
"","","","","","","","","","CPU"," AMD Ryzen 5 5625U ( 2.3 GHz - 4.3 GHz / 16MB / 6 nhân, 12 luồng )"
"","","","","","","","","","Chip đồ họa"," RTX 3050  4GB  GDDR6 / AMD Radeon Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C , 2 x USB 3.2 , 1 x USB 2.0 , Audio combo , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.2 "
"","","","","","","","","","Bàn phím"," thường , có phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 36.34  x 25.45 x 2.29 cm "
"","","","","","","","","","Pin"," 3 cell  50 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 2.1 kg"
"","","","","","","","","","Bảo mật"," Vân tay "
"Laptop MSI Modern 15 A11M 1024VN (15.6"" Full HD/Intel Core i5-1155G7/8GB/512GB SSD/Onboard/Windows 11/1.6kg)","15.668.000₫","https://lh3.googleusercontent.com/AuqhERmRG5UzcXhYp4bksbuNkPecHQzTdlBN8COMmC866UWUcKE9P3DnEOFsWjB64G8UYAZJbrvpNgeec3M664cagmbuJXtt=rw","https://lh3.googleusercontent.com/p5iKyyLKPYdHC-x4qImhfDOleAHNXLFGYvWg0mFHBAEIhGC8x15b7_9c7Y1Am75CM3DvwUNM7it3o4f7N4f1scZfbbpMZZVI=rw","https://lh3.googleusercontent.com/QTDmu2AsIrhfxYH_lmTRKK488Sa4BX_ypGUeqPmIXReexolTJSONXCUakcMgRaGmS5FFnuqTMr85TJlBk_Wg4oKnv5K1fwo=rw","https://lh3.googleusercontent.com/muBEYkfQ4gNo8s4rEmkw4YGXANBlhyiRaPq2bAiu9uOHgo45dB9-QQy8181HhZ96jsZoros5jXbrFmzIMqDPhruuvcMU4T4=rw","https://lh3.googleusercontent.com/6jrMhLA161SkP3riT2UjbMs_aX4vOx5tKsypdEYTxphunEwUj0iCWWWIyqnexdm_HmPeiyla8HtdV9koULj2Yjw4i9yGZQA=rw","https://lh3.googleusercontent.com/HoaHzIVBSolNHQH15OPinlJVq6IrD2H61QqQkBZyBqynO2M19YY0Vvuwna9cbzaaMWsC5yw43JiTGHKhs-UMm4nAAG6XFfjn=rw","- CPU: Intel Core i5-1155G7\n- Màn hình: 15.6"" IPS (1920 x 1080)\n- RAM: 1 x 8GB DDR4 3200MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11\n- Pin: 3 cell 52 Wh Pin liền\n- Khối lượng: 1.6kg","Thương hiệu","MSI"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Modern Series"
"","","","","","","","","","Part-number","1024VN"
"","","","","","","","","","Màu sắc","Xám"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-1155G7 ( 2.5 GHz - 4.5 GHz / 8MB / 4 nhân, 8 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 2 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối",", 3 x USB 3.2 , 1 x Thunderbolt , 1 x micro SD card slot , Audio combo "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 "
"","","","","","","","","","Kích thước"," 35.68 x 23.375 x 1.69 cm "
"","","","","","","","","","Pin"," 3 cell  52 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 1.6 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"","","","","","","","","","Phụ kiện đi kèm"," Adapter, dây nguồn "
"Laptop ACER Aspire 7 A715-42G-R4XX NH.QAYSV.008 (15.6"" Full HD/AMD Ryzen 5 5500U/8GB/256GB SSD/GTX 1650/Windows 11 Home/2.1kg)","15.990.000₫","https://lh3.googleusercontent.com/XZw2wp0fEcYZKpiqmO8qVQvcCDvGw1rXfRnXWAEZw5aw_ha6c0xLqs5yOyME6_1yVSdqOoFY-IIaaZCDP5J18juVEbNrj9JW=rw","https://lh3.googleusercontent.com/AZ2a39X1YkKFm1M_WhJaYNsOdGFR3SfdHKnwA8b-oYEoL8fwOBovFhucEDsLqFD3EltfASRcU5dHfQ7xdhYRkNoQ_1sn8jks=rw","https://lh3.googleusercontent.com/h4TLf0qnmPeQb3z0Bs4go_H_GjhFfNa3LG7Kv0HyzWyyAmk2KMGzrgU9qm299XyGl_N9_NGhIswGmKFWohhIajG47RKSvofc=rw","https://lh3.googleusercontent.com/zUWa94udwRTpDmfQeIgzBYJY-IOTlLDfiUqKfa730VTFxUo8xRZVhtAgHUZY--IgORiEMMYbPXYwZJerRCYtOAbwZd17udrs=rw","https://lh3.googleusercontent.com/4G8ykiLsNPSQg7sGJGyJV2HfJBAraDy-gaj-JJWj1yloLsC9h_x1ebuGHD_yol0SaFUrarkBgKHhua7wwM_14OvJJSgMRrQ=rw","https://lh3.googleusercontent.com/vV8mDg1djauld6rjdwULJPBkNTnz4MsAhyF2gByqm8MYrOGZCrzMYwBRg03jVjy02G8h5ISshelRugKa_fFgw45z7-b2YIMrDA=rw","- CPU: AMD Ryzen 5 5500U\n- Màn hình: 15.6"" IPS (1920 x 1080)\n- RAM: 1 x 8GB DDR4 3200MHz\n- Đồ họa: NVIDIA GeForce GTX 1650 4GB GDDR6 / AMD Radeon Graphics\n- Lưu trữ: 256GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- 48 Wh\n- Khối lượng: 2.1 kg","Thương hiệu","ACER"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Aspire 7"
"","","","","","","","","","Part-number","NH.QAYSV.008"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Ryzen 5 "
"","","","","","","","","","CPU"," AMD Ryzen 5 5500U ( 2.1 GHz - 4.0 GHz / 8MB / 6 nhân, 12 luồng )"
"","","","","","","","","","Chip đồ họa"," GTX 1650  4GB  GDDR6 / AMD Radeon Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 256GB SSD M.2 NVMe /"
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB 3.2 Type C , 2 x USB 3.2 , 1 x USB 2.0 , 1 x 3.5 mm , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , có phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 36.34 x 25.45 x 2.29 cm "
"","","","","","","","","","Pin"," 48 Wh "
"","","","","","","","","","Khối lượng"," 2.1 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"","","","","","","","","","Phụ kiện đi kèm"," Cáp + Sạc "
"Laptop HP Victus 16-d0294TX 5Z9R5PA (16.1"" Full HD/ 144Hz/Intel Core i5-11400H/8GB/512GB SSD/RTX 3050Ti/Windows 11 Home SL/2.4kg)","19.990.000₫","https://lh3.googleusercontent.com/yjOBjy7s_no_MmEXxfwQQkLPTsn_vELM7krfXOhjd4kfG6pjST51nBqCnVFulgE2828OwbQqIp6L1XGizRTSNmuUt-C9oNw=rw","https://lh3.googleusercontent.com/JaaDHt8U7I44HJJF0s80xMB-k-iDRvOsas4DtMiG30hZtCLzL33GtLRrEpWJ4Vw_XkJmgRRxi5Dutz8H0_oAvWmZMgGAhW0O=rw","https://lh3.googleusercontent.com/OaxwbLlhs4D29JE-pFaQOAJ3Ouku9R210vFNLH311ZoZq4TNGprNZ9mNSt7WQGN9IoLQ9Fg8S4Ql9o4DUhPU9aNLc09Ru3BB=rw","https://lh3.googleusercontent.com/hFTQIqBiC1lqsGT5hi243zoWJR6NpnHhkFhNkXvLtN3UjTXdvCe0Pf7KeD_sMy5Wgbbv88xan3HS9GDFs_FvEIHmGaLjb0mk=rw","https://lh3.googleusercontent.com/_-J514QwOBB_sUyXU_eY1lnh7V6VyFZibDmcI7JFRWJB3tERlY4xlgYKLZqpuJFrA7lXltUtpzDUmEL7alolF39AruOYfYo=rw","https://lh3.googleusercontent.com/Qk6H-0iWdyCgqL8MPGDAq6vtG7bw-yHZK1XCl8IhOV-qrYMvAfd2iNWhqtvvIqz0tE20YlK6YeqBhl4AKZSnGQNjOXwe7Jn4=rw","- CPU: Intel Core i5-11400H\n- Màn hình: 16.1"" IPS (1920 x 1080), 144Hz\n- RAM: 2 x 4GB DDR4 3200MHz\n- Đồ họa: NVIDIA GeForce RTX 3050Ti 4GB GDDR6 / Intel UHD Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home SL\n- Pin: 4 cell 70 Wh\n- Khối lượng: 2.4 kg","Thương hiệu","HP"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","VICTUS"
"","","","","","","","","","Part-number","5Z9R5PA"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-11400H ( 2.7 GHz - 4.5 GHz / 12MB / 6 nhân, 12 luồng )"
"","","","","","","","","","Chip đồ họa"," RTX 3050Ti  4GB  GDDR6 / Intel UHD Graphics "
"","","","","","","","","","RAM"," 2 x 4GB  DDR4  3200MHz ( 2 Khe cắm "
"","","","","","","","","","Màn hình"," 16.1"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , Màn hình chống lóa , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB 3.1 Gen 1 Type C , 3 x USB 3.1 , 1 x SD card slot , Audio combo , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.0 "
"","","","","","","","","","Bàn phím"," thường , có phím số , LED "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home SL "
"","","","","","","","","","Kích thước"," 37.0 x 26.0 x 2.35 cm "
"","","","","","","","","","Pin"," 4 cell  70 Wh "
"","","","","","","","","","Khối lượng"," 2.4 kg"
"Laptop HP Pavilion 15-eg2056TU 6K786PA (15.6"" Full HD/Intel Core i5-1240P/8GB/512GB SSD/Onboard/Windows 11 Home SL/1.7kg)","17.589.000₫","https://lh3.googleusercontent.com/wAB6EeGBjo3qDRv-RMNzD4nJTPcgdx2von5IMlVdQfEBkBLMPQ49wpeqIbBwshTAUNWaayKKXwgpw52KckjSu9yxQecWtRKV=rw","https://lh3.googleusercontent.com/LBCylHJhcl15dg0iPTATRbQxUk_OXl0Oa6RMEkbmmqI7wq2OXjtibwsfFE6I3terhlwXQk6ozdYMYIA03S-ITuGK6WOenw1m=rw","https://lh3.googleusercontent.com/cYGYFNjyU0VfkIWqQPigsFXPgBHoSKO88p2b0REzp10tDLwk14FwhU7JgArGQ-P74aith3990rcjMaMle5o8Q9YRbpWlll4r=rw","https://lh3.googleusercontent.com/AEJ7mOr3CgfjBfDq6x5Doh0Chnuyvi3xJ17jgUgZ3oPirhPUl-CwbD5o6woS0Dah_wFPydo5WK_C5kOjfpRZykKenTodGhc=rw","https://lh3.googleusercontent.com/c3wlypWafRebnkVJULYpqzuzeZxuEd4WInyJw_QLST0gthpEBl0aiAcn4AzPDsziDB2CuNxb2XcrEUiiNvMKxoxCq7qZ_DnK=rw","https://lh3.googleusercontent.com/LuSa4OZDFrfLINDqa7Kj9IkOdup1Gk4eQxSg8lhUiLSY05WBlolrFeHEuBHyrlaGG7jNfP9DMb_BSQkuGKkH-DKiOqxmzkRj=rw","- CPU: Intel Core i5-1240P\n- Màn hình: 15.6"" IPS (1920 x 1080)\n- RAM: 2 x 4GB DDR4 3200MHz\n- Đồ họa: Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home SL\n- Pin: 3 cell 41 Wh\n- Khối lượng: 1.7 kg","Thương hiệu","HP"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Pavilion"
"","","","","","","","","","Part-number","6K786PA"
"","","","","","","","","","Màu sắc","Vàng"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 12 "
"","","","","","","","","","CPU"," Intel Core i5-1240P ( 1.7 GHz - 4.4GHz / 12MB / 12 nhân, 16 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 2 x 4GB  DDR4  3200MHz ( 2 Khe cắm "
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort / Power Delivery , 2 x USB 3.2 , Audio combo "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.2 "
"","","","","","","","","","Bàn phím"," thường , có phím số "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home SL "
"","","","","","","","","","Kích thước"," 36.02 x 23.4 x 1.79 cm "
"","","","","","","","","","Pin"," 3 cell  41 Wh "
"","","","","","","","","","Khối lượng"," 1.7 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
